;id_station;nom_station_commune;nom_station;commune;espece;abreviation;nb_individus;,id_station,nom_station_commune,commune,espece,abreviation,nb_individus;;;;;;;;annee
2009;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Sandre;SAN;1;2009,id_station,Station numero 7 - NANTERRE,NANTERRE,Sandre,SAN,1;;;;;;;;2009
2010;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Silure;SIL;3;2010,id_station,Station numero 7 - NANTERRE,NANTERRE,Silure,SIL,3;;;;;;;;2010
2010;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Tanche;TAN;3;2010,id_station,Station numero 7 - NANTERRE,NANTERRE,Tanche,TAN,3;;;;;;;;2010
2016;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Tanche;TAN;1;2016,id_station,Station numero 7 - NANTERRE,NANTERRE,Tanche,TAN,1;;;;;;;;2016
2018;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Ablette;ABL;1;2018,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Ablette,ABL,1;;;;;;;;2018
2020;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Barbeau fluviatile;BAF;1;2020,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Barbeau fluviatile,BAF,1;;;;;;;;2020
2020;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Chevesne;CHE;61;2020,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Chevesne,CHE,61;;;;;;;;2020
2019;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Gardon;GAR;86;2019,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Gardon,GAR,86;;;;;;;;2019
2015;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Hotu;HOT;18;2015,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Hotu,HOT,18;;;;;;;;2015
2017;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Rotengle;ROT;2;2017,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Rotengle,ROT,2;;;;;;;;2017
2020;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Rotengle;ROT;16;2020,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Rotengle,ROT,16;;;;;;;;2020
2017;id_station;Station numero 1bis - ISSY LES MOULINEAUX;Station numero 1bis;ISSY LES MOULINEAUX;Vandoise;VAN;1;2017,id_station,Station numero 1bis - ISSY LES MOULINEAUX,ISSY LES MOULINEAUX,Vandoise,VAN,1;;;;;;;;2017
2020;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Bouviere;BOU;11;2020,id_station,Station numero 6bis - NANTERRE,NANTERRE,Bouviere,BOU,11;;;;;;;;2020
2017;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Gardon;GAR;29;2017,id_station,Station numero 6bis - NANTERRE,NANTERRE,Gardon,GAR,29;;;;;;;;2017
2019;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Perche commune;PER;6;2019,id_station,Station numero 6bis - NANTERRE,NANTERRE,Perche commune,PER,6;;;;;;;;2019
2020;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Perche commune;PER;4;2020,id_station,Station numero 6bis - NANTERRE,NANTERRE,Perche commune,PER,4;;;;;;;;2020
2018;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Perche soleil;PES;1;2018,id_station,Station numero 6bis - NANTERRE,NANTERRE,Perche soleil,PES,1;;;;;;;;2018
2018;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Sandre;SAN;3;2018,id_station,Station numero 6bis - NANTERRE,NANTERRE,Sandre,SAN,3;;;;;;;;2018
2017;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Silure glane;SIL;2;2017,id_station,Station numero 6bis - NANTERRE,NANTERRE,Silure glane,SIL,2;;;;;;;;2017
2017;id_station;Station numero 6bis - NANTERRE;Station numero 6bis;NANTERRE;Vandoise;VAN;1;2017,id_station,Station numero 6bis - NANTERRE,NANTERRE,Vandoise,VAN,1;;;;;;;;2017
2020;id_station;Station Quai de Dion Bouton - PUTEAUX;Station Quai de Dion Bouton;PUTEAUX;Perche commune;PER;6;2020,id_station,Station Quai de Dion Bouton - PUTEAUX,PUTEAUX,Perche commune,PER,6;;;;;;;;2020
2020;id_station;Station Diffuseur Paul Bert - COLOMBES;Station Diffuseur Paul Bert;COLOMBES;Chabot;CHA;5;2020,id_station,Station Diffuseur Paul Bert - COLOMBES,COLOMBES,Chabot,CHA,5;;;;;;;;2020
2022;id_station;Station Entre pont de Clichy et pont de Gennevilliers - CLICHY;Station Entre pont de Clichy et pont de Gennevilliers;CLICHY;Chabot;CHA;6;2022,id_station,Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,CLICHY,Chabot,CHA,6;;;;;;;;2022
2022;id_station;Station Entre pont de Clichy et pont de Gennevilliers - CLICHY;Station Entre pont de Clichy et pont de Gennevilliers;CLICHY;Chevesne;CHE;13;2022,id_station,Station Entre pont de Clichy et pont de Gennevilliers - CLICHY,CLICHY,Chevesne,CHE,13;;;;;;;;2022
2022;id_station;Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT;Station Pointe aval de l'Ile Seguin;BOULOGNE BILLANCOURT;Chabot;CHA;1;2022,id_station,Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,1;;;;;;;;2022
2022;id_station;Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT;Station Pointe aval de l'Ile Seguin;BOULOGNE BILLANCOURT;Gardon;GAR;3;2022,id_station,Station Pointe aval de l'Ile Seguin - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,3;;;;;;;;2022
2015;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Ablette;ABL;36;2015,id_station,Station numero 1 - MEUDON,MEUDON,Ablette,ABL,36;;;;;;;;2015
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Breme sp.;BRX;2;2012,id_station,Station numero 1 - MEUDON,MEUDON,Breme sp.,BRX,2;;;;;;;;2012
2013;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Breme sp.;BRX;9;2013,id_station,Station numero 1 - MEUDON,MEUDON,Breme sp.,BRX,9;;;;;;;;2013
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Breme sp.;BRX;2;2014,id_station,Station numero 1 - MEUDON,MEUDON,Breme sp.,BRX,2;;;;;;;;2014
2015;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;9;2015,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,9;;;;;;;;2015
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;11;2012,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,11;;;;;;;;2012
2016;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;8;2016,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,8;;;;;;;;2016
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Goujon;GOU;1;2014,id_station,Station numero 1 - MEUDON,MEUDON,Goujon,GOU,1;;;;;;;;2014
2015;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Hotu;HOT;26;2015,id_station,Station numero 1 - MEUDON,MEUDON,Hotu,HOT,26;;;;;;;;2015
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;4;2009,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,4;;;;;;;;2009
2011;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;5;2011,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,5;;;;;;;;2011
2012;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;3;2012,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,3;;;;;;;;2012
2017;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;4;2017,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,4;;;;;;;;2017
2022;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;1;2022,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,1;;;;;;;;2022
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche soleil;PES;2;2009,id_station,Station numero 1 - MEUDON,MEUDON,Perche soleil,PES,2;;;;;;;;2009
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Rotengle;ROT;6;2014,id_station,Station numero 1 - MEUDON,MEUDON,Rotengle,ROT,6;;;;;;;;2014
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Sandre;SAN;1;2009,id_station,Station numero 1 - MEUDON,MEUDON,Sandre,SAN,1;;;;;;;;2009
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Silure;SIL;2;2009,id_station,Station numero 1 - MEUDON,MEUDON,Silure,SIL,2;;;;;;;;2009
2012;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Ablette;ABL;35;2012,id_station,Station numero 2 - SEVRES,SEVRES,Ablette,ABL,35;;;;;;;;2012
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Barbeau fluviatile;BAF;16;2014,id_station,Station numero 2 - SEVRES,SEVRES,Barbeau fluviatile,BAF,16;;;;;;;;2014
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Bouviere;BOU;4;2011,id_station,Station numero 2 - SEVRES,SEVRES,Bouviere,BOU,4;;;;;;;;2011
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Brochet;BRO;2;2014,id_station,Station numero 2 - SEVRES,SEVRES,Brochet,BRO,2;;;;;;;;2014
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Breme sp.;BRX;1;2015,id_station,Station numero 2 - SEVRES,SEVRES,Breme sp.,BRX,1;;;;;;;;2015
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Breme sp.;BRX;3;2016,id_station,Station numero 2 - SEVRES,SEVRES,Breme sp.,BRX,3;;;;;;;;2016
2012;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;25;2012,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,25;;;;;;;;2012
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;38;2015,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,38;;;;;;;;2015
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;89;2011,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,89;;;;;;;;2011
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;6;2009,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,6;;;;;;;;2009
2013;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;4;2013,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,4;;;;;;;;2013
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;341;2014,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,341;;;;;;;;2014
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;32;2015,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,32;;;;;;;;2015
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Goujon;GOU;1;2009,id_station,Station numero 2 - SEVRES,SEVRES,Goujon,GOU,1;;;;;;;;2009
2019;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Goujon;GOU;26;2019,id_station,Station numero 2 - SEVRES,SEVRES,Goujon,GOU,26;;;;;;;;2019
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gremille;GRE;5;2011,id_station,Station numero 2 - SEVRES,SEVRES,Gremille,GRE,5;;;;;;;;2011
2015;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Loche franche;LOF;2;2015,id_station,Station numero 2 - SEVRES,SEVRES,Loche franche,LOF,2;;;;;;;;2015
2017;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche commune;PER;15;2017,id_station,Station numero 2 - SEVRES,SEVRES,Perche commune,PER,15;;;;;;;;2017
2010;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche soleil;PES;1;2010,id_station,Station numero 2 - SEVRES,SEVRES,Perche soleil,PES,1;;;;;;;;2010
2010;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;11;2010,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,11;;;;;;;;2010
2012;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Rotengle;ROT;1;2012,id_station,Station numero 2 - SEVRES,SEVRES,Rotengle,ROT,1;;;;;;;;2012
2013;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;1;2013,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,1;;;;;;;;2013
2017;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;6;2017,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,6;;;;;;;;2017
2015;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Ablette;ABL;128;2015,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Ablette,ABL,128;;;;;;;;2015
2011;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Breme sp.;BRX;1;2011,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Breme sp.,BRX,1;;;;;;;;2011
2012;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;30;2012,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,30;;;;;;;;2012
2015;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;21;2015,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,21;;;;;;;;2015
2017;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;1;2017,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,1;;;;;;;;2017
2009;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;5;2009,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,5;;;;;;;;2009
2010;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;7;2010,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,7;;;;;;;;2010
2011;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;27;2011,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,27;;;;;;;;2011
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;2;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,2;;;;;;;;2013
2016;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;46;2016,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,46;;;;;;;;2016
2017;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;5;2017,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,5;;;;;;;;2017
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;25;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,25;;;;;;;;2019
2009;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gardon;GAR;1;2009,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,1;;;;;;;;2009
2014;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gardon;GAR;67;2014,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,67;;;;;;;;2014
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Hotu;HOT;2;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Hotu,HOT,2;;;;;;;;2019
2014;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Rotengle;ROT;1;2014,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Rotengle,ROT,1;;;;;;;;2014
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Silure glane;SIL;1;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Silure glane,SIL,1;;;;;;;;2013
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Barbeau fluviatile;BAF;1;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Barbeau fluviatile,BAF,1;;;;;;;;2012
2015;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Barbeau fluviatile;BAF;3;2015,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Barbeau fluviatile,BAF,3;;;;;;;;2015
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Barbeau fluviatile;BAF;5;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Barbeau fluviatile,BAF,5;;;;;;;;2019
2010;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Black bass;BBG;2;2010,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Black bass,BBG,2;;;;;;;;2010
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;7;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,7;;;;;;;;2012
2013;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;16;2013,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,16;;;;;;;;2013
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Goujon;GOU;3;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Goujon,GOU,3;;;;;;;;2011
2014;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Goujon;GOU;4;2014,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Goujon,GOU,4;;;;;;;;2014
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Goujon;GOU;2;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Goujon,GOU,2;;;;;;;;2019
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;6;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,6;;;;;;;;2011
2014;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;5;2014,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,5;;;;;;;;2014
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Rotengle;ROT;5;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Rotengle,ROT,5;;;;;;;;2011
2011;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Ablette;ABL;3;2011,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Ablette,ABL,3;;;;;;;;2011
2013;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Ablette;ABL;13;2013,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Ablette,ABL,13;;;;;;;;2013
2015;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Ablette;ABL;19;2015,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Ablette,ABL,19;;;;;;;;2015
2011;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chabot;CHA;60;2011,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chabot,CHA,60;;;;;;;;2011
2013;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chabot;CHA;44;2013,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chabot,CHA,44;;;;;;;;2013
2016;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chabot;CHA;1;2016,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chabot,CHA,1;;;;;;;;2016
2014;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chevesne;CHE;15;2014,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chevesne,CHE,15;;;;;;;;2014
2009;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;29;2009,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,29;;;;;;;;2009
2011;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;24;2011,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,24;;;;;;;;2011
2019;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;9;2019,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,9;;;;;;;;2019
2009;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Rotengle;ROT;1;2009,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Rotengle,ROT,1;;;;;;;;2009
2014;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Vandoise;VAN;2;2014,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Vandoise,VAN,2;;;;;;;;2014
2018;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Vandoise;VAN;16;2018,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Vandoise,VAN,16;;;;;;;;2018
2011;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;1;2011,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,1;;;;;;;;2011
2012;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;106;2012,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,106;;;;;;;;2012
2014;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;13;2014,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,13;;;;;;;;2014
2015;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;111;2015,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,111;;;;;;;;2015
2016;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;7;2016,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,7;;;;;;;;2016
2013;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Barbeau fluviatile;BAF;3;2013,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Barbeau fluviatile,BAF,3;;;;;;;;2013
2016;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chabot;CHA;4;2016,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chabot,CHA,4;;;;;;;;2016
2009;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;2;2009,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,2;;;;;;;;2009
2017;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;3;2017,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,3;;;;;;;;2017
2018;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;21;2018,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,21;;;;;;;;2018
2013;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;28;2013,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,28;;;;;;;;2013
